Provinsi,Region_2020,Rumah_2020,Industri_2020,Bisnis_2020,Sosial_2020,Bangunan Pemerintah_2020,Penerangan Jalan Umum_2020,Total_2020,Region_2021,Rumah_2021,Industri_2021,Bisnis_2021,Sosial_2021,Bangunan Pemerintah_2021,Penerangan Jalan Umum_2021,Total_2021,Region_2022,Rumah_2022,Industri_2022,Bisnis_2022,Sosial_2022,Bangunan Pemerintah_2022,Penerangan Jalan Umum_2022,Total_2022,Region_2023,Rumah_2023,Industri_2023,Bisnis_2023,Sosial_2023,Bangunan Pemerintah_2023,Lainnya_2022,Total_2023
Jambi,Jambi,,,"370.724.450,00","92.162.450,00","58.773.650,00","19.717.196,00","1.797.190.546,00",Jambi,"3.797.469.100,00","589.347.350,00","438.624.350,00","150.606.950,00","53.524.200,00","22.710.375,00","3.369.228.225,00",Jambi,"3.980.549.350,00","621.063.950,00","422.754.200,00","117.452.950,00","66.339.100,00",20.962.396,"2.123.445.196,00",Jambi,,,,,,,
Jawa Tengah,Central Java,"8.979.412.800,00","3.308.678.850,00",,,,,,Central Java,,,,,,,,Central Java,,,,,,,,Central Java,"10.425.736.000,00","3.927.199.900,00","3.443.314.700,00","1.213.449.800,00","540.243.406,00","84.745.400,00",19.634.689.206
Kalimantan Barat,West Kalimantan,"1.126.198.700,00","129.614.100,00","906.118.300,00","274.553.250,00","157.094.200,00","57.163.267,00","5.146.946.967,00",West Kalimantan,"1.232.889.900,00","129.015.500,00","477.074.950,00","153.113.800,00","109.927.500,00","29.034.954,00","2.601.861.354,00",West Kalimantan,"1.341.707.750,00","154.228.800,00","1.015.523.550,00","337.420.350,00","171.572.550,00","59.934.807,00","6.107.189.557,00",West Kalimantan,"1.468.164.000,00","154.928.900,00","460.386.450,00","128.796.100,00","90.204.446,00","1.512.800,00",2.303.992.696
Kalimantan Selatan,South Kalimantan,"1.626.021.650,00","231.914.800,00","160.667.950,00","49.786.750,00","50.096.000,00","5.620.700,00","870.411.700,00",South Kalimantan,"1.756.326.800,00","260.799.100,00","952.005.200,00","306.221.900,00","162.523.850,00","58.643.467,00","5.707.684.067,00",South Kalimantan,"1.864.719.000,00","332.368.700,00","182.790.400,00","58.643.000,00","56.814.350,00","6.510.500,00","1.019.939.900,00",South Kalimantan,"1.997.095.400,00","441.128.200,00","654.456.400,00","206.863.900,00","157.265.648,00","1.104.000,00",3.457.913.548
Kalimantan Tengah,Centre Kalimantan,,,"290.501.200,00","76.900.000,00","104.144.350,00","7.817.585,00","1.295.305.605,00",Centre Kalimantan,,,"171.494.000,00","55.484.800,00","52.586.900,00","6.174.100,00","950.402.700,00",Centre Kalimantan,,,"337.310.150,00","97.600.120,00","120.432.850,00","7.887.085,00","1.530.918.905,00",Centre Kalimantan,,,,,,,
Kalimantan Timur dan Utara,East and North Kalimantan,"1.437.634.009,00","151.456.500,00","1.597.269.850,00","154.414.150,00","80.719.650,00","33.234.608,00","3.845.805.258,00",East and North Kalimantan,"1.554.224.950,00","174.114.600,00","316.042.150,00","89.376.070,00","113.113.150,00","7.685.685,00","1.428.037.855,00",East and North Kalimantan,"1.655.943.200,00","177.285.900,00","1.752.162.700,00","178.827.600,00","79.692.700,00","33.573.058,00","4.213.315.908,00",East and North Kalimantan,"1.784.192.900,00","351.272.400,00","738.134.900,00","179.315.150,00","177.820.602,00","11.739.650,00",3.242.475.602
Kepulauan Bangka Belitung,Bangka Belitung Islands,"520.360.800,00","124.052.200,00","580.044.700,00","135.834.250,00","126.029.050,00","20.059.572,00","2.451.058.081,00",Bangka Belitung Islands,"557.367.000,00","162.844.050,00","555.670.850,00","171.358.700,00","107.935.100,00","33.382.101,00","2.885.472.651,00",Bangka Belitung Islands,"590.812.700,00","189.299.850,00","666.611.600,00","162.413.450,00","139.910.900,00","21.306.882,00","2.823.471.932,00",Bangka Belitung Islands,"623.926.950,00","207.334.750,00","200.233.250,00","58.654.600,00","44.523.550,00","7.397.950,00",1.142.071.050
Kepulauan Riau,Riau Islands,,,"163.324.650,00","47.641.300,00","29.085.250,00","6.822.850,00","891.287.050,00",Riau Islands,,,"923.776.750,00","258.299.550,00","142.729.950,00","57.603.336,00","5.769.226.036,00",Riau Islands,,,"193.325.750,00","55.106.350,00","32.373.050,00","8.191.250,00","1.069.108.950,00",Riau Islands,,,,,,,
LUAR JAWA,OUT SIDE JAVA,"28.330.377.160,00","4.696.018.350,00",,,,,,OUT SIDE JAVA,"30.499.471.800,00","5.572.101.000,00",,,,,,OUT SIDE JAVA,"32.265.837.900,00","6.021.873.600,00",,,,,,OUT SIDE JAVA,"34.525.763.000,00","6.811.125.400,00","11.184.982.350,00","3.097.449.239,00","2.228.323.802,00","293.174.050,00",58.140.817.841
Lampung,Lampung,"2.026.988.700,00","512.764.350,00","453.955.450,00","138.853.050,00","103.993.900,00","28.697.304,00","2.394.833.204,00",Lampung,"2.142.636.450,00","561.125.900,00","621.034.850,00","150.221.359,00","134.452.300,00","20.591.372,00","2.654.639.431,00",Lampung,"2.211.255.300,00","579.982.450,00","502.241.000,00","166.587.950,00","117.285.100,00","29.563.474,00","2.822.994.574,00",Lampung,"2.311.716.200,00","614.319.100,00","527.565.900,00","183.217.950,00","81.861.725,00","1.334.300,00",3.720.015.175
Maluku,Maluku,"594.762.500,00","9.477.800,00","1.986.131.851,00","234.315.550,00","124.796.000,00","44.201.746,00","11.347.579.900,00",Maluku,,,"4.678.399.000,00","954.443.450,00","378.204.300,00","137.140.620,00","28.622.119.870,00",Maluku,,,"2.269.282.250,00","274.486.950,00","133.294.250,00","48.509.496,00","12.702.547.449,00",Maluku,"777.988.800,00","92.395.000,00","159.882.200,00","62.938.080,00","66.086.350,00","23.673.200,00",1.182.963.630
