Provinsi,Rumah,Industri,Bisnis,Sosial,Bangunan Pemerintah,Penerangan Jalan Umum,Total,(%),Tahun
"UIW South, Southeast and West Sulawesi","4,426.32","2,802.53","1,518.70",403.62,231.82,157.75,"9,540.75",3.49,2022
South Sulawesi,"3,323.67","2,691.79","1,222.87",324.28,163.54,130.47,"7,856.64",2.87,2022
Southeast Sulawesi,794.11,68.11,231.58,54.50,45.90,19.70,"1,213.90",0.44,2022
West Sulawesi,308.54,42.63,64.24,24.84,22.38,7.58,470.21,0.17,2022
UIW Maluku and North Maluku,809.53,20.51,272.74,69.63,89.03,17.99,"1,279.42",0.47,2022
Maluku,352.87,11.64,148.59,36.40,49.96,7.64,607.10,0.22,2022
North Maluku,456.66,8.88,124.15,33.22,39.07,10.35,672.32,0.25,2022
UIW Papua and West Papua,"1,123.05",22.65,481.98,113.68,142.13,18.50,"1,901.98",0.69,2022
Papua,754.32,12.18,330.01,77.01,94.70,12.30,"1,280.52",0.47,2022
West Papua,368.73,10.46,151.98,36.67,47.43,6.20,621.46,0.23,2022
UID Bali,"2,473.52",194.67,"2,431.11",186.28,119.27,65.66,"5,470.51",2.00,2022
UIW West Nusa Tenggara,"1,495.97",200.45,446.78,110.13,50.50,55.48,"2,359.31",0.86,2022
UIW East Nusa Tenggara,759.36,28.31,270.56,78.15,52.75,17.77,"1,206.91",0.44,2022
PT PLN Batam,922.69,874.53,"1,011.71",79.77,39.46,15.01,"2,943.17",1.08,2022
O u t s i d e J a v a,"44,112.96","16,230.96","16,921.04","3,703.65","2,095.45","1,749.21","84,813.27",30.98,2022
UID East Java,"15,462.12","17,032.15","5,454.49","1,541.15",455.27,601.69,"40,546.88",14.81,2022
UID Central Java and Yogyakarta,"14,774.93","9,055.57","4,599.50","1,527.45",380.40,553.41,"30,891.25",11.28,2022
Central Java,"12,961.71","8,778.30","3,789.54","1,239.73",304.65,490.70,"27,564.64",10.07,2022
D.I. Yogyakarta,"1,813.22",277.27,809.96,287.71,75.74,62.70,"3,326.61",1.22,2022
UID West Java,"20,871.52","25,419.11","7,610.34","1,422.88",503.81,398.45,"56,226.11",20.54,2022
UID Banten,"6,049.89","16,605.16","3,407.59",395.19,163.58,84.26,"26,705.67",9.76,2022
UID Jakarta Raya,"14,824.00","4,140.34","12,539.23","1,482.92","1,396.61",195.20,"34,578.29",12.63,2022
J a v a,"71,982.45","72,252.34","33,611.15","6,369.58","2,899.67","1,833.02","188,948.21",69.02,2022
I n d o n e s i a,"116,095.41","88,483.30","50,532.19","10,073.23","4,995.12","3,582.23","273,761.48",100.00,2022
(%),42.41,32.32,18.46,3.68,1.82,1.31,100.00,,2022
UIW Aceh,"1.986,67","339,79","631,21","251,10","115,55","133,98","3.458,30","1,20",2023
UIW North Sumatera,"6.187,34","3.137,13","1.992,01","576,89","158,68","420,80","12.472,84","4,32",2023
UIW West Sumatera,"1.837,36","839,60","730,29","217,24","86,04","100,31","3.810,84","1,32",2023
UIW Riau and Riau Archipelago,"3.665,58","3.219,97","1.683,34","342,45","162,67","138,15","9.212,16","3,19",2023
Riau,"3.142,80","3.180,60","1.358,50","296,71","119,24","114,71","8.212,56","2,85",2023
