Provinsi,Tahun,Segmen Pelanggan,Distribusi Listrik (GWh)
UIW Riau and Riau Archipelago,2023,Bangunan Pemerintah,16267.0
Riau,2023,Bangunan Pemerintah,11924.0
Kepulauan Riau,2023,Bangunan Pemerintah,4343.0
"UIW South Sumatera, Jambi and Bengkulu",2023,Bangunan Pemerintah,21040.0
Sumatera Selatan,2023,Bangunan Pemerintah,12384.0
Jambi,2023,Bangunan Pemerintah,5412.0
Bengkulu,2023,Bangunan Pemerintah,3244.0
UIW Bangka Belitung,2023,Bangunan Pemerintah,3818.0
UIW Lampung,2023,Bangunan Pemerintah,7691.0
UIW West Kalimantan,2023,Bangunan Pemerintah,8734.0
UIW S and C Kalimantan,2023,Bangunan Pemerintah,16003.0
Kalimantan Selatan,2023,Bangunan Pemerintah,9201.0
Kalimantan Tengah,2023,Bangunan Pemerintah,6802.0
UIW East and North Kalimantan,2023,Bangunan Pemerintah,19661.0
"UIW N, C Sulawesi and Gorontalo",2023,Bangunan Pemerintah,15777.0
Sulawesi Utara,2023,Bangunan Pemerintah,5444.0
Sulawesi Tengah,2023,Bangunan Pemerintah,6258.0
Gorontalo,2023,Bangunan Pemerintah,4075.0
"UIW S, SE and W Sulawesi",2023,Bangunan Pemerintah,24620.0
Sulawesi Selatan,2023,Bangunan Pemerintah,17071.0
Sulawesi Tenggara,2023,Bangunan Pemerintah,5147.0
Sulawesi Barat,2023,Bangunan Pemerintah,2402.0
UIW Maluku and North Maluku,2023,Bangunan Pemerintah,9488.0
Maluku,2023,Bangunan Pemerintah,5249.0
Maluku Utara,2023,Bangunan Pemerintah,4239.0
UIW Papua and West Papua,2023,Bangunan Pemerintah,14981.0
Papua,2023,Bangunan Pemerintah,9930.0
Papua Barat,2023,Bangunan Pemerintah,5051.0
UID Bali,2023,Bangunan Pemerintah,10177.0
UIW West Nusa Tenggara,2023,Bangunan Pemerintah,5172.0
UIW East Nusa Tenggara,2023,Bangunan Pemerintah,5413.0
PT PLN Batam,2023,Bangunan Pemerintah,4481.0
UIW East Java,2023,Bangunan Pemerintah,47559.0
UID Central Java and Yogyakarta,2023,Bangunan Pemerintah,40514.0
Jawa Tengah,2023,Bangunan Pemerintah,32466.0
D.I. Yogyakarta,2023,Bangunan Pemerintah,8048.0
UIW West Java,2023,Bangunan Pemerintah,56075.0
UID Banten,2023,Bangunan Pemerintah,16791.0
UID Jakarta Raya,2023,Bangunan Pemerintah,1.48222
UIW Aceh,2023,Penerangan Jalan Umum,13398.0
UIW North Sumatera,2023,Penerangan Jalan Umum,42080.0
UIW West Sumatera,2023,Penerangan Jalan Umum,10031.0
UIW Riau and Riau Archipelago,2023,Penerangan Jalan Umum,13815.0
Riau,2023,Penerangan Jalan Umum,11471.0
Kepulauan Riau,2023,Penerangan Jalan Umum,2345.0
"UIW South Sumatera, Jambi and Bengkulu",2023,Penerangan Jalan Umum,19849.0
Sumatera Selatan,2023,Penerangan Jalan Umum,14768.0
Jambi,2023,Penerangan Jalan Umum,4233.0
Bengkulu,2023,Penerangan Jalan Umum,848.0
UIW Bangka Belitung,2023,Penerangan Jalan Umum,999.0
UIW Lampung,2023,Penerangan Jalan Umum,12948.0
UIW West Kalimantan,2023,Penerangan Jalan Umum,4767.0
UIW S and C Kalimantan,2023,Penerangan Jalan Umum,8898.0
Kalimantan Selatan,2023,Penerangan Jalan Umum,6537.0
Kalimantan Tengah,2023,Penerangan Jalan Umum,2361.0
UIW East and North Kalimantan,2023,Penerangan Jalan Umum,5220.0
"UIW N, C Sulawesi and Gorontalo",2023,Penerangan Jalan Umum,8198.0
Sulawesi Utara,2023,Penerangan Jalan Umum,3867.0
Sulawesi Tengah,2023,Penerangan Jalan Umum,3238.0
Gorontalo,2023,Penerangan Jalan Umum,1093.0
"UIW S, SE and W Sulawesi",2023,Penerangan Jalan Umum,15939.0
Sulawesi Selatan,2023,Penerangan Jalan Umum,13031.0
Sulawesi Tenggara,2023,Penerangan Jalan Umum,2156.0
Sulawesi Barat,2023,Penerangan Jalan Umum,752.0
UIW Maluku and North Maluku,2023,Penerangan Jalan Umum,1852.0
Maluku,2023,Penerangan Jalan Umum,782.0
Maluku Utara,2023,Penerangan Jalan Umum,1070.0
UIW Papua and West Papua,2023,Penerangan Jalan Umum,1865.0
Papua,2023,Penerangan Jalan Umum,1240.0
Papua Barat,2023,Penerangan Jalan Umum,625.0
UID Bali,2023,Penerangan Jalan Umum,6309.0
